"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"462","Eyioma Uwazurike (DEN)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"463","Phidarian Mathis (WAS)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"464","Thomas Booker IV (PHI)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"465","Ali Gaye (HOU)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"466","Matt Henningsen (DEN)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"467","Cameron Goode (MIA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"468","Jeff Gunter (CIN)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"469","Esezi Otomewo (JAC)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"470","Jonathan Ford (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"471","Kyron Johnson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"472","Popo Aumavae (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"473","Ochaun Mathis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"474","Zach VanValkenburg (LAR)","0","0","0","0","0","0","0","0","1","0.0","0.0","3.0%"
"475","Calijah Kancey (TB)","0","0","0","0","0","0","0","0","0","0","0","6.7%"
"476","Deslin Alexandre (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"477","DeAngelo Malone (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"478","Jerrod Clark (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"479","Otito Ogbonnia (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"480","Kalia Davis (SF)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"481","Jaden Crumedy (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"482","Zach Carter (FA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.4%"
"483","Arron Mosby (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"484","Jordan Elliott (SF)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"485","Khalil Mack (LAC)","1","0","0","0","0","0","0","0","1","0.0","0.0","52.3%"
"486","Kyle Van Noy (BAL)","0","0","0","0","0","0","0","0","0","0","0","7.4%"
"487","Mike Pennel Jr. (KC)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"488","Shaquil Barrett (FA)","0","0","0","0","0","0","0","0","1","0.0","0.0","6.7%"
"489","Jordan Miller (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"490","Stylez White (MIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"491","Cameron Heyward (PIT)","0","0","0","0","0","0","0","0","0","0","0","22.6%"
"492","Von Miller (BUF)","0","0","0","0","0","0","0","0","0","0","0","2.3%"
"493","Cameron Jordan (NO)","0","0","0","0","0","0","0","0","1","0.0","0.0","5.7%"
"494","Lawrence Guy Sr. (FA)","0","0","0","0","0","0","0","0","1","0.0","0.0","4.0%"
"495","Robaire Smith (CLE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"496","Demetric Evans (SF)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"497","Myron Pryor (NE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"498","Emmanuel Stephens (CLE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"499","Auston English (CLE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"500","Quentin Moses (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"501","Terrell Lewis (PHI)","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"502","Matt Dickerson (KC)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"503","Jalyn Holmes (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"504","Kendal Vickers (NO)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"505","Ogbo Okoronkwo (CLE)","1","1","0.5","0","0","0","0","0","1","0.0","0.0","2.0%"
"506","Jacob Martin (CHI)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"507","Dennis Gardeck (ARI)","2","0","0","0","0","0","0","0","1","0.0","0.0","2.8%"
