"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"346","Zach VanValkenburg (LAR)","1","2","0","0","0","0","0","0","1","0.0","0.0","3.0%"
"347","Chandler Wooten (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"348","Nephi Sewell (NO)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"349","J.J. Russell (TB)","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"350","Arron Mosby (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"351","Cameron McGrone (IND)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"352","Nick Niemann (LAC)","0","0","0","0","0","0","0","0","0","0","0","3.1%"
"353","Buddy Johnson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"354","Chris Rumph II (LAC)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"355","Pat Jones II (MIN)","3","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"356","Sam Kamara (CLE)","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"357","Isaiah McDuffie (GB)","0","0","0","0","0","0","0","0","0","0","0","3.7%"
"358","Tony Fields II (CLE)","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"359","Grant Stuard (IND)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"360","Patrick Johnson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"361","Brenton Cox Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"362","Charles Snowden (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"363","Rashad Weaver (TEN)","1","0","0","0","0","0","0","0","1","0.0","0.0","0.4%"
"364","Ronnie Perkins (DEN)","0","2","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"365","Elerson Smith (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"366","Jeremiah Moon (PIT)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"367","Garret Wallow (TEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"368","Jonathon Cooper (DEN)","3","0","1","1","0","0","0","0","1","0.0","0.0","15.3%"
"369","K.J. Britt (TB)","0","0","0","0","0","0","0","0","1","0.0","0.0","8.9%"
"370","Steele Chambers (NE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"371","Ventrell Miller (JAC)","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"372","Kayvon Thibodeaux (NYG)","1","0","0","0","0","0","0","0","1","0.0","0.0","23.0%"
"373","Kingsley Enagbare (GB)","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"374","Brendon White (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"375","Christian Elliss (NE)","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"376","Milo Eifler (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"377","Jon Rhattigan (SEA)","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
