"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"92","DeAndre Carter (CHI)","1","1","16","16.0","16","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"93","KhaDarel Hodge (ATL)","1","1","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","0.1%"
"94","Chase Claypool (BUF)","1","4","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","0.7%"
"95","Deonte Harty (BAL)","2","3","15","7.5","8","0","0","2","-2","0","0","1","1.3","1.3","0.1%"
"96","River Cracraft (MIA)","1","1","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.1%"
"97","John Metchie III (HOU)","2","2","13","6.5","11","0","0","0","0","0","0","1","1.3","1.3","0.8%"
"98","Brandon Johnson (DEN)","2","3","12","6.0","8","0","0","0","0","0","0","1","1.2","1.2","2.0%"
"99","Randall Cobb (FA)","1","2","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"100","Tim Jones (JAC)","2","3","11","5.5","6","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"101","Quentin Johnston (LAC)","2","3","10","5.0","7","0","0","0","0","0","0","1","1.0","1.0","17.0%"
"102","Jaxon Smith-Njigba (SEA)","1","3","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","76.0%"
"103","Trey Palmer (TB)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","1.5%"
"104","Laviska Shenault Jr. (SEA)","1","1","0","0.0","0","0","0","2","7","0","0","1","0.7","0.7","0.1%"
"105","Tyler Scott (CHI)","1","3","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.2%"
"106","Charlie Jones (CIN)","1","2","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.1%"
"107","Deven Thompkins (CAR)","2","4","6","3.0","5","0","0","0","0","0","0","1","0.6","0.6","0.1%"
"108","Rashod Bateman (BAL)","1","3","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","9.5%"
"109","Khalil Shakir (BUF)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","13.3%"
"110","Brandon Powell (MIN)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.7%"
"111","Treylon Burks (TEN)","1","6","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","5.9%"
"112","JuJu Smith-Schuster (NE)","1","3","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","6.9%"
"113","Ben Skowronek (HOU)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.1%"
"114","Derius Davis (LAC)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.3%"
"115","Isaiah McKenzie (NYG)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.1%"
"116","Marquise Goodwin (FA)","0","0","0","0","0","0","0","1","1","0","0","1","0.1","0.1","0.0%"
"117","Dee Eskridge (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"118","Jaelon Darden (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Chris Blair (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Jalen Guyton (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"121","Steven Sims Jr. (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","D.J. Montgomery (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Tom Kennedy (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Malik Taylor (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Alex Bachman (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Nsimba Webster (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Isaiah Hodgins (NYG)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"128","Denzel Mims (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","James Proche II (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Quintez Cephus (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","KJ Hamler (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"132","Devin Duvernay (JAC)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"133","Brandon Aiyuk (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.2%"
"134","Gunner Olszewski (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Jalen Reagor (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
