"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"18","Blake Grupe (NO)","2","2","100.0","28","0","2","0","0","0","2","2","1","8.0","8.0","3.8%"
"19","Ka'imi Fairbairn (HOU)","2","3","66.7","36","0","1","1","0","0","2","2","1","8.0","8.0","48.8%"
"20","Matt Gay (IND)","1","1","100.0","42","0","0","0","1","0","4","4","1","8.0","8.0","35.5%"
"21","Jason Myers (SEA)","1","3","33.3","25","0","1","0","0","0","4","4","1","7.0","7.0","31.7%"
"22","Cairo Santos (CHI)","1","1","100.0","52","0","0","0","0","1","2","2","1","7.0","7.0","23.4%"
"23","Riley Patterson (JAC)","1","1","100.0","38","0","0","1","0","0","4","4","1","7.0","7.0","13.1%"
"24","Graham Gano (NYG)","1","1","100.0","34","0","0","1","0","0","4","4","1","7.0","7.0","1.3%"
"25","Chad Ryland (NE)","1","1","100.0","49","0","0","0","1","0","2","2","1","6.0","6.0","0.4%"
"26","Anders Carlson (GB)","1","1","100.0","33","0","0","1","0","0","3","3","1","6.0","6.0","2.0%"
"27","Evan McPherson (CIN)","1","1","100.0","27","0","1","0","0","0","3","3","1","6.0","6.0","83.1%"
"28","Jason Sanders (MIA)","1","3","33.3","23","0","1","0","0","0","3","3","1","6.0","6.0","46.2%"
"29","Daniel Carlson (LV)","1","1","100.0","47","0","0","0","1","0","1","1","1","5.0","5.0","24.2%"
"30","Harrison Butker (KC)","1","1","100.0","38","0","0","1","0","0","2","2","1","5.0","5.0","95.5%"
"31","Austin Seibert (NYJ)","1","1","100.0","34","0","0","1","0","0","1","1","1","4.0","4.0","0.0%"
"32","Greg Joseph (GB)","0","0","0","0","0","0","0","0","0","4","4","1","4.0","4.0","3.7%"
"33","Ramiz Ahmed (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"34","Matthew Wright (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"35","Michael Badgley (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.1%"
"36","Tanner Brown (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"37","John Parker Romo (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","James Turner (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Jude McAtamney (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","Spencer Shrader (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"41","Jake Bates (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.4%"
"42","Harrison Mevis (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Jack Browning (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Brayden Narveson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"45","Joshua Karty (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"46","Cam Little (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"47","Charlie Smyth (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"48","Will Reichard (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"49","Cade York (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"50","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","MacKenzie Hoambrecker (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Andrew Jacas (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Connor Hughes (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Garrett Lindholm (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Kai Forbath (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"65","Greg Zuerlein (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41.9%"
"66","Saverio Rocca (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""
