"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"602","Avonte Maddox (PHI)","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"603","Tavierre Thomas (TB)","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"604","Jonathan Owens (CHI)","0","0","0","0","0","0","0","0","1","0.0","0.0","5.0%"
"605","Chris Lammons (IND)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"606","Jeremy Reaves (WAS)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"607","Chandon Sullivan (FA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"608","C.J. Goodwin (DAL)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"609","Antonio Hamilton Sr. (ATL)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.5%"
"610","Anrdre Hal (HOU)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"611","Deon Bush (KC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"612","Jonathan Jones (NE)","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"613","Jalen Mills (NYG)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.4%"
"614","Jalen Ramsey (MIA)","0","0","0","0","0","0","0","0","0","0","0","16.5%"
"615","Eli Apple (FA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"616","Erik Harris (SF)","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"617","Miles Killebrew (PIT)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"618","Jacobi Francis (MIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""
