"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"433","Joseph Ossai (CIN)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.5%"
"434","David Bada (DET)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"435","Levi Onwuzurike (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"436","Isaiah Foskey (NO)","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"437","Ryder Anderson (NYG)","0","0","0","0","0","0","0","0","0","0","0","4.0%"
"438","Jesse Luketa (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"439","Luiji Vilain (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"440","Matthew Butler (LV)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"441","Marquan McCall (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"442","LaBryan Ray (CAR)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"443","Drake Jackson (SF)","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"444","De'Shaan Dixon (JAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"445","Sam Okuayinonu (SF)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"446","Rayshad Nichols (BAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"447","Ty Shelby (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"448","Timmy Horne (NYG)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"449","Daniel Hardy (CHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"450","Haggai Ndubuisi (WAS)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"451","Jordan Jackson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"452","Sam Roberts (NE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"453","James Houston (DET)","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"454","Isaiah Thomas (CLE)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"455","David Ojabo (BAL)","0","0","0","0","0","0","0","0","0","0","0","3.1%"
"456","Sam Williams (DAL)","0","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
"457","Tyler Davis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"458","Tyreke Smith (ARI)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"459","Justin Eboigbe (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"460","Byron Young (LV)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"461","Amare Barno (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"462","Neil Farrell Jr. (KC)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"463","Popo Aumavae (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"464","Esezi Otomewo (JAC)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"465","Cameron Goode (MIA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"466","Jeff Gunter (CIN)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"467","Jonathan Ford (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"468","Kyron Johnson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"469","Arron Mosby (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"470","Eyioma Uwazurike (DEN)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"471","Ali Gaye (HOU)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"472","Thomas Booker IV (PHI)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"473","Ochaun Mathis (LAR)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"474","Ben Stille (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"475","Deslin Alexandre (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"476","DeAngelo Malone (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"477","Jerrod Clark (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"478","Zach VanValkenburg (LAR)","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"479","Kalia Davis (SF)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"480","Jaden Crumedy (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"481","K'Lavon Chaisson (CAR)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"482","Brent Urban (BAL)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"483","Khalil Mack (LAC)","5","2","1","0","0","0","0","0","1","0.0","0.0","52.3%"
"484","Kyle Van Noy (BAL)","1","0","1","0","0","0","0","0","1","0.0","0.0","7.4%"
"485","Melvin Ingram III (FA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"486","Bruce Irvin (FA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"487","Johnathan Hankins (SEA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"488","Jordan Miller (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"489","Von Miller (BUF)","0","0","0","0","0","0","0","0","0","0","0","2.3%"
"490","Stylez White (MIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"491","Robaire Smith (CLE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"492","Demetric Evans (SF)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"493","Myron Pryor (NE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"494","Emmanuel Stephens (CLE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"495","Auston English (CLE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"496","Al Woods (FA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"497","Quentin Moses (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"498","Julian Okwara (PHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"499","Daniel Ekuale (NE)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"500","Jacob Martin (CHI)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"501","Kemoko Turay (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"502","Genard Avery (IND)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"503","Kendal Vickers (NO)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"504","Ogbo Okoronkwo (CLE)","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"505","Maurice Hurst II Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"506","Sebastian Joseph-Day (TEN)","0","0","0","0","0","0","0","0","1","0.0","0.0","1.9%"
"507","Demone Harris (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"508","Dennis Gardeck (ARI)","1","0","0","0","0","0","0","0","1","0.0","0.0","2.8%"
"509","Matt Dickerson (KC)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"510","Alex Barrett (SF)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"511","Eli Ankou (BUF)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"512","Poona Ford (LAC)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"513","Kentavius Street (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"514","Uchenna Nwosu (SEA)","0","0","0","0","0","0","0","0","0","0","0","16.4%"
"515","Deadrin Senat (BAL)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"516","Marquis Haynes Sr. (FA)","3","1","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"517","Bradley Chubb (MIA)","3","2","0","0","0","0","0","0","1","0.0","0.0","16.7%"
"518","Arden Key (TEN)","0","0","0","0","0","0","0","0","1","0.0","0.0","1.9%"
"519","Marcus Davenport (DET)","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"520","Harold Landry III (TEN)","3","2","1","0","0","0","0","0","1","0.0","0.0","23.2%"
"521","Lorenzo Carter (ATL)","3","0","1","0","0","1","0","0","1","0.0","0.0","1.4%"
"522","Matt Nelson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"523","Trysten Hill (NE)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"524","Byron Cowart (CHI)","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"525","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"526","Kyle Phillips (FA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"527","Anthony Pittman (WAS)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
