"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"77","A.J. Brown (PHI)","4","6","29","7.3","12","0","0","0","0","0","0","1","2.9","2.9","99.9%"
"78","Braxton Berrios (MIA)","2","3","28","14.0","18","0","0","0","0","0","0","1","2.8","2.8","1.2%"
"79","JuJu Smith-Schuster (NE)","5","6","28","5.6","12","0","0","0","0","0","0","1","2.8","2.8","6.9%"
"80","Alec Pierce (IND)","2","2","28","14.0","20","1","0","0","0","0","0","1","2.8","2.8","2.3%"
"81","David Bell (CLE)","3","3","27","9.0","14","0","0","0","0","0","0","1","2.7","2.7","0.1%"
"82","Jonathan Mingo (CAR)","3","8","26","8.7","22","1","0","0","0","0","0","1","2.6","2.6","7.0%"
"83","Dyami Brown (WAS)","3","3","25","8.3","9","0","0","0","0","0","0","1","2.5","2.5","0.1%"
"84","Jerry Jeudy (CLE)","3","5","25","8.3","11","0","0","0","0","0","0","1","2.5","2.5","63.3%"
"85","Allen Lazard (NYJ)","2","4","23","11.5","14","0","0","0","0","0","0","1","2.3","2.3","4.7%"
"86","Hunter Renfrow (FA)","1","1","23","23.0","23","1","0","0","0","0","0","1","2.3","2.3","0.6%"
"87","Jahan Dotson (WAS)","3","5","22","7.3","18","0","0","0","0","0","0","1","2.2","2.2","31.0%"
"88","Parris Campbell (PHI)","4","6","21","5.3","9","0","0","0","0","0","0","1","2.1","2.1","0.7%"
"89","Ben Skowronek (HOU)","1","1","10","10.0","10","0","0","1","11","0","0","1","2.1","2.1","0.1%"
"90","Rashee Rice (KC)","2","2","20","10.0","15","0","0","0","0","0","0","1","2.0","2.0","88.9%"
"91","Trey Palmer (TB)","1","2","20","20.0","20","1","0","0","0","0","0","1","2.0","2.0","1.5%"
"92","Rashod Bateman (BAL)","3","3","18","6.0","9","0","0","0","0","0","0","1","1.8","1.8","9.5%"
"93","Jalen Tolbert (DAL)","3","4","18","6.0","7","0","0","0","0","0","0","1","1.8","1.8","2.0%"
"94","John Metchie III (HOU)","1","1","17","17.0","17","0","0","0","0","0","0","1","1.7","1.7","0.8%"
"95","DJ Chark Jr. (LAC)","1","1","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","4.7%"
"96","KaVontae Turpin (DAL)","1","1","9","9.0","9","0","0","2","6","0","0","1","1.5","1.5","0.7%"
"97","Devin Duvernay (JAC)","0","3","0","0","0","0","0","3","15","0","0","1","1.5","1.5","0.2%"
"98","Rondale Moore (ATL)","1","1","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","5.2%"
"99","Marquez Valdes-Scantling (BUF)","2","3","13","6.5","8","0","0","0","0","0","0","1","1.3","1.3","1.2%"
"100","Joshua Palmer (LAC)","3","5","13","4.3","6","0","0","0","0","0","0","1","1.3","1.3","24.5%"
"101","Allen Robinson II (NYG)","2","3","12","6.0","7","0","0","0","0","0","0","1","1.2","1.2","0.6%"
"102","Deven Thompkins (CAR)","0","0","0","0","0","0","0","1","11","0","0","1","1.1","1.1","0.1%"
"103","Derius Davis (LAC)","0","0","0","0","0","0","0","1","10","0","0","1","1.0","1.0","0.3%"
"104","Zach Pascal (ARI)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.1%"
"105","Van Jefferson (PIT)","1","4","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","1.3%"
"106","Calvin Austin III (PIT)","1","4","10","10.0","10","0","0","1","-2","0","0","1","0.8","0.8","0.8%"
"107","Isaiah McKenzie (NYG)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.1%"
"108","Quentin Johnston (LAC)","1","2","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","17.0%"
"109","Laviska Shenault Jr. (SEA)","0","0","0","0","0","0","0","1","7","0","0","1","0.7","0.7","0.1%"
"110","Donovan Peoples-Jones (DET)","1","4","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","1.7%"
"111","Rakim Jarrett (TB)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"112","Mecole Hardman Jr. (KC)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","1.2%"
"113","Samori Toure (GB)","1","2","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"114","Erik Ezukanma (MIA)","0","1","0","0","0","0","0","3","5","0","0","1","0.5","0.5","0.0%"
"115","Jamal Agnew (FA)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","1.0%"
"116","Miles Boykin (NYG)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"117","Sterling Shepard (TB)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.1%"
"118","Deonte Harty (BAL)","2","3","4","2.0","8","0","0","0","0","0","0","1","0.4","0.4","0.1%"
"119","Lil'Jordan Humphrey (DEN)","1","2","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.1%"
"120","Byron Pringle (FA)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"121","Michael Gallup (FA)","1","2","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","6.3%"
"122","Jake Bobo (SEA)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.3%"
"123","Antoine Green (DET)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","0.1%"
"124","Chris Blair (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","D.J. Montgomery (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Steven Sims Jr. (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Jalen Guyton (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"128","Malik Taylor (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Nsimba Webster (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Olamide Zaccheaus (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"131","Alex Bachman (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","KJ Hamler (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"133","Easop Winston Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Quintez Cephus (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","James Proche II (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Denzel Mims (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Jalen Reagor (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"138","Tom Kennedy (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Marcus Simms (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","Davion Davis (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Andy Isabella (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Keelan Doss (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Collin Johnson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Cody Thompson (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"145","Tyron Billy-Johnson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Scotty Miller (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"147","Trenton Irwin (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"148","Juwann Winfree (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Jeff Smith (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","David Sills (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Diontae Johnson (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83.2%"
"153","Greg Dortch (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","4.3%"
"154","Jakobi Meyers (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73.3%"
"155","Stanley Morgan Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Tyler Johnson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Ashton Dulin (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"158","Marquez Callaway (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"159","Dez Fitzpatrick (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","Ihmir Smith-Marsette (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"161","Seth Williams (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Anthony Schwartz (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Jaelon Darden (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Dan Chisena (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Andre Baccellia (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Freddie Swain (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Darnell Mooney (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","37.7%"
"168","Tylan Wallace (BAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"169","Justyn Ross (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"170","Kirk Merritt (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"171","Cody White (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
